metric,value
monetary_row_count,2500.0
monetary_valid_count,2500.0
monetary_null_count,0.0
monetary_zero_count,83.0
monetary_negative_count,0.0
monetary_min,0.0
monetary_median,585.505
monetary_mean,924.77846
monetary_max,13522.39
old_rfm_high_value_count,418.0
new_high_economic_value_count,500.0
old_new_value_overlap_count,319.0
old_new_overlap_share_of_old,0.7631578947368421
old_new_overlap_share_of_new,0.638
old_rfm_vs_risk_pearson,-0.7934213226220821
old_rfm_vs_risk_rank_correlation,-0.8831834381598045
monetary_vs_risk_pearson,-0.5097515398007945
monetary_vs_risk_rank_correlation,-0.828865925427599
old_rfm_high_value_global_top10_overlap,0.0
new_economic_value_global_top10_overlap,0.0
