priority_rank,household_key,reference_week,predicted_no_purchase_probability,risk_rank,risk_rank_within_high_economic_value,pre_window_monetary_26w,economic_value_rank,economic_value_percentile,is_high_economic_value_top20,pre_window_frequency_26w,pre_window_recency_weeks_26w,pre_window_rfm_value_index_26w,value_state,activity_state,customer_state,prior4_valid_basket_count,recent4_valid_basket_count,prior4_sales,recent4_sales
1,2226,98,0.4272202755943003,434,1.0,2933.29,136.0,0.946,True,203.0,4.0,0.7018342297614123,OTHER_VALUE,REACTIVATED,OTHER_VALUE_REACTIVATED,0,3,0.0,72.83
2,942,98,0.4221695694706552,441,2.0,2653.9,171.0,0.932,True,103.0,2.0,0.7051441180526826,OTHER_VALUE,ACTIVE_BOTH_NO_MAJOR_DECLINE,OTHER_VALUE_ACTIVE,1,2,7.49,21.98
3,336,98,0.3351136951904701,564,3.0,1807.95,377.0,0.8496,True,53.0,5.0,0.6017101089504896,OTHER_VALUE,NO_ACTIVITY_BOTH_WINDOWS,OTHER_VALUE_LONG_INACTIVE,0,0,0.0,0.0
4,1574,98,0.3226588486711297,586,4.0,1730.86,402.0,0.8396,True,10.0,0.0,0.5356502551372223,OTHER_VALUE,BECAME_INACTIVE,OTHER_VALUE_BECAME_INACTIVE,1,0,21.13,0.0
5,472,98,0.2504030376335839,705,5.0,1582.09,455.0,0.8184,True,19.0,9.0,0.4450420631637014,OTHER_VALUE,REACTIVATED,OTHER_VALUE_REACTIVATED,0,1,0.0,3.29
6,149,98,0.2376043321529468,735,6.0,4617.05,32.0,0.9876,True,84.0,0.0,0.8110605433733276,HIGH_VALUE,BECAME_INACTIVE,HIGH_VALUE_BECAME_INACTIVE,15,0,752.99,0.0
7,424,98,0.2267730329862141,765,7.0,1895.28,347.0,0.8616,True,18.0,1.0,0.5459936560474415,OTHER_VALUE,BECAME_INACTIVE,OTHER_VALUE_BECAME_INACTIVE,3,0,70.59,0.0
8,2097,98,0.2160857113241123,789,8.0,1739.48,396.0,0.842,True,39.0,1.0,0.6317749275961936,OTHER_VALUE,BECAME_INACTIVE,OTHER_VALUE_BECAME_INACTIVE,2,0,39.94,0.0
9,656,98,0.2078872296264498,815,9.0,1887.51,351.0,0.86,True,29.0,0.0,0.73065784029789,OTHER_VALUE,BECAME_INACTIVE,OTHER_VALUE_BECAME_INACTIVE,3,0,129.17,0.0
10,618,98,0.2012745669380527,830,10.0,2146.67,275.0,0.8904,True,134.0,0.0,0.8605709557302443,HIGH_VALUE,ACTIVE_BOTH_VERY_STRONG_DECLINE,HIGH_VALUE_VERY_STRONG_DECLINE,24,2,332.08,25.85
11,1065,98,0.1656508008358418,920,11.0,1734.56,399.0,0.8408,True,16.0,0.0,0.7443111294993793,OTHER_VALUE,BECAME_INACTIVE,OTHER_VALUE_BECAME_INACTIVE,2,0,389.52,0.0
12,601,98,0.1651956369840476,923,12.0,1541.58,469.0,0.8128,True,25.0,0.0,0.693697421045373,OTHER_VALUE,BECAME_INACTIVE,OTHER_VALUE_BECAME_INACTIVE,2,0,177.31,0.0
13,72,98,0.1288639222758194,1032,13.0,2017.95,312.0,0.8756,True,23.0,2.0,0.5614398014067024,OTHER_VALUE,ACTIVE_BOTH_SALES_DECLINE,OTHER_VALUE_SALES_DECLINE,1,1,121.44,16.93
14,492,98,0.1274236083231155,1036,14.0,2381.92,219.0,0.9128,True,38.0,3.0,0.607778237484485,OTHER_VALUE,BECAME_INACTIVE,OTHER_VALUE_BECAME_INACTIVE,1,0,99.72,0.0
15,411,98,0.1134617022413201,1085,15.0,2073.38,294.0,0.8828,True,40.0,1.0,0.66101227416908,OTHER_VALUE,ACTIVE_BOTH_VERY_STRONG_DECLINE,OTHER_VALUE_VERY_STRONG_DECLINE,3,1,170.16,10.99
16,932,98,0.1116821960629964,1092,16.0,1686.74,418.0,0.8332,True,27.0,0.0,0.754378706385326,OTHER_VALUE,BECAME_INACTIVE,OTHER_VALUE_BECAME_INACTIVE,4,0,354.67,0.0
17,232,98,0.109720167951981,1097,17.0,2380.91,221.0,0.912,True,89.0,1.0,0.729002896152255,OTHER_VALUE,ACTIVE_BOTH_VERY_STRONG_DECLINE,OTHER_VALUE_VERY_STRONG_DECLINE,6,1,133.28,64.98
18,383,98,0.1068952567511691,1108,18.0,1533.5,472.0,0.8116,True,44.0,3.0,0.5902634119431803,OTHER_VALUE,ACTIVE_BOTH_NO_MAJOR_DECLINE,OTHER_VALUE_ACTIVE,2,1,35.75,69.15
19,2181,98,0.101835776781869,1131,19.0,2272.64,237.0,0.9056,True,37.0,1.0,0.6538408495379946,OTHER_VALUE,ACTIVE_BOTH_VERY_STRONG_DECLINE,OTHER_VALUE_VERY_STRONG_DECLINE,4,1,511.85,126.73
20,134,98,0.0977356179629653,1146,20.0,1705.13,414.0,0.8348,True,17.0,4.0,0.4665563370569576,OTHER_VALUE,REACTIVATED,OTHER_VALUE_REACTIVATED,0,3,0.0,88.06
21,1417,98,0.0825569614917686,1208,21.0,1691.28,417.0,0.8336,True,34.0,0.0,0.782788580885395,OTHER_VALUE,ACTIVE_BOTH_NO_MAJOR_DECLINE,OTHER_VALUE_ACTIVE,3,2,27.84,92.88
22,1592,98,0.0715378283389899,1261,22.0,1506.26,489.0,0.8048,True,31.0,1.0,0.615363398151979,OTHER_VALUE,ACTIVE_BOTH_VERY_STRONG_DECLINE,OTHER_VALUE_VERY_STRONG_DECLINE,5,2,501.45,86.84
23,1723,98,0.0702997555243348,1267,23.0,1607.7,450.0,0.8204,True,32.0,0.0,0.7280375120673013,OTHER_VALUE,ACTIVE_BOTH_NO_MAJOR_DECLINE,OTHER_VALUE_ACTIVE,5,2,163.75,139.47
24,1227,98,0.069352328424746,1273,24.0,1503.78,490.0,0.8044,True,32.0,0.0,0.8176803199558683,HIGH_VALUE,ACTIVE_BOTH_NO_MAJOR_DECLINE,HIGH_VALUE_ACTIVE,1,3,136.2,108.2
25,790,98,0.0671743365455437,1283,25.0,1544.48,467.0,0.8136,True,27.0,0.0,0.6546683216108123,OTHER_VALUE,ACTIVE_BOTH_VERY_STRONG_DECLINE,OTHER_VALUE_VERY_STRONG_DECLINE,4,2,245.15,71.12
26,1959,98,0.0669925533766611,1285,26.0,1700.42,415.0,0.8344,True,37.0,0.0,0.7932698938077506,OTHER_VALUE,ACTIVE_BOTH_NO_MAJOR_DECLINE,OTHER_VALUE_ACTIVE,1,3,22.43,243.69
27,1363,98,0.0669881284239533,1286,27.0,1760.68,392.0,0.8436,True,22.0,5.0,0.4951041235691626,OTHER_VALUE,REACTIVATED,OTHER_VALUE_REACTIVATED,0,4,0.0,321.6
28,1613,98,0.0595511793990766,1332,28.0,1868.96,358.0,0.8572,True,41.0,1.0,0.677010067576886,OTHER_VALUE,ACTIVE_BOTH_NO_MAJOR_DECLINE,OTHER_VALUE_ACTIVE,4,3,339.9,261.89
