analysis_type,cohort_label,cutoff_lower,cutoff_upper,cohort_household_count,promotion_response_state,state_household_count,state_share,share_difference_vs_top10_pp
CUMULATIVE,TOP_10,0.00,0.10,50,EXPOSED_NO_REDEMPTION,32,0.64000000000000000000,0.00000000000000000000
CUMULATIVE,TOP_10,0.00,0.10,50,NO_HISTORY,3,0.06000000000000000000,0.00000000000000000000
CUMULATIVE,TOP_10,0.00,0.10,50,ONE_TIME_REDEEMER,10,0.20000000000000000000,0.00000000000000000000
CUMULATIVE,TOP_10,0.00,0.10,50,REPEAT_REDEEMER,5,0.10000000000000000000,0.00000000000000000000
CUMULATIVE,TOP_20,0.00,0.20,100,EXPOSED_NO_REDEMPTION,57,0.57000000000000000000,-7.00000000000000000000
CUMULATIVE,TOP_20,0.00,0.20,100,NO_HISTORY,7,0.07000000000000000000,1.00000000000000000000
CUMULATIVE,TOP_20,0.00,0.20,100,ONE_TIME_REDEEMER,20,0.20000000000000000000,0.00000000000000000000
CUMULATIVE,TOP_20,0.00,0.20,100,REPEAT_REDEEMER,16,0.16000000000000000000,6.00000000000000000000
CUMULATIVE,TOP_30,0.00,0.30,150,EXPOSED_NO_REDEMPTION,84,0.56000000000000000000,-8.00000000000000000000
CUMULATIVE,TOP_30,0.00,0.30,150,NO_HISTORY,9,0.06000000000000000000,0.00000000000000000000
CUMULATIVE,TOP_30,0.00,0.30,150,ONE_TIME_REDEEMER,31,0.20666666666666666667,0.66666666666666666700
CUMULATIVE,TOP_30,0.00,0.30,150,REPEAT_REDEEMER,26,0.17333333333333333333,7.33333333333333333300
CUMULATIVE,TOP_40,0.00,0.40,200,EXPOSED_NO_REDEMPTION,111,0.55500000000000000000,-8.50000000000000000000
CUMULATIVE,TOP_40,0.00,0.40,200,NO_HISTORY,12,0.06000000000000000000,0.00000000000000000000
CUMULATIVE,TOP_40,0.00,0.40,200,ONE_TIME_REDEEMER,38,0.19000000000000000000,-1.00000000000000000000
CUMULATIVE,TOP_40,0.00,0.40,200,REPEAT_REDEEMER,39,0.19500000000000000000,9.50000000000000000000
CUMULATIVE,TOP_50,0.00,0.50,250,EXPOSED_NO_REDEMPTION,136,0.54400000000000000000,-9.60000000000000000000
CUMULATIVE,TOP_50,0.00,0.50,250,NO_HISTORY,13,0.05200000000000000000,-0.80000000000000000000
CUMULATIVE,TOP_50,0.00,0.50,250,ONE_TIME_REDEEMER,48,0.19200000000000000000,-0.80000000000000000000
CUMULATIVE,TOP_50,0.00,0.50,250,REPEAT_REDEEMER,53,0.21200000000000000000,11.20000000000000000000
BAND,BAND_00_10,0.00,0.10,50,EXPOSED_NO_REDEMPTION,32,0.64000000000000000000,
BAND,BAND_00_10,0.00,0.10,50,NO_HISTORY,3,0.06000000000000000000,
BAND,BAND_00_10,0.00,0.10,50,ONE_TIME_REDEEMER,10,0.20000000000000000000,
BAND,BAND_00_10,0.00,0.10,50,REPEAT_REDEEMER,5,0.10000000000000000000,
BAND,BAND_10_20,0.10,0.20,50,EXPOSED_NO_REDEMPTION,25,0.50000000000000000000,
BAND,BAND_10_20,0.10,0.20,50,NO_HISTORY,4,0.08000000000000000000,
BAND,BAND_10_20,0.10,0.20,50,ONE_TIME_REDEEMER,10,0.20000000000000000000,
BAND,BAND_10_20,0.10,0.20,50,REPEAT_REDEEMER,11,0.22000000000000000000,
BAND,BAND_20_30,0.20,0.30,50,EXPOSED_NO_REDEMPTION,27,0.54000000000000000000,
BAND,BAND_20_30,0.20,0.30,50,NO_HISTORY,2,0.04000000000000000000,
BAND,BAND_20_30,0.20,0.30,50,ONE_TIME_REDEEMER,11,0.22000000000000000000,
BAND,BAND_20_30,0.20,0.30,50,REPEAT_REDEEMER,10,0.20000000000000000000,
BAND,BAND_30_40,0.30,0.40,50,EXPOSED_NO_REDEMPTION,27,0.54000000000000000000,
BAND,BAND_30_40,0.30,0.40,50,NO_HISTORY,3,0.06000000000000000000,
BAND,BAND_30_40,0.30,0.40,50,ONE_TIME_REDEEMER,7,0.14000000000000000000,
BAND,BAND_30_40,0.30,0.40,50,REPEAT_REDEEMER,13,0.26000000000000000000,
BAND,BAND_40_50,0.40,0.50,50,EXPOSED_NO_REDEMPTION,25,0.50000000000000000000,
BAND,BAND_40_50,0.40,0.50,50,NO_HISTORY,1,0.02000000000000000000,
BAND,BAND_40_50,0.40,0.50,50,ONE_TIME_REDEEMER,10,0.20000000000000000000,
BAND,BAND_40_50,0.40,0.50,50,REPEAT_REDEEMER,14,0.28000000000000000000,
